"Properties Served","Collection Day","Blue Box Dates","Red Box Dates","Download Calendar"
,Thursday,"10/04/2014, 24/04/2014, 08/05/2014, 22/05/2014, 05/06/2014, 19/06/2014, 03/07/2014, 17/07/2014, 31/07/2014, 14/08/2014, 28/08/2014, 11/09/2014, 25/09/2014, 09/10/2014, 23/10/2014, 06/11/2014, 20/11/2014, 04/12/2014, 18/12/2014, 01/01/2015, 15/01/2015,","03/04/2014, 17/04/2014, 01/05/2014, 15/05/2014, 29/05/2014, 12/06/2014, 26/06/2014, 10/07/2014, 24/07/2014, 07/08/2014, 21/08/2014, 04/09/2014, 18/09/2014, 02/10/2014, 16/10/2014, 30/10/2014, 13/11/2014, 27/11/2014, 11/12/2014, 25/12/2014, 08/01/2015,",http://www.edinburgh.gov.uk/downloads/file/2366/red_and_blue_box_calendar_2014-2015_thur_1
,Thursday,"10/04/2014, 24/04/2014, 08/05/2014, 22/05/2014, 05/06/2014, 19/06/2014, 03/07/2014, 17/07/2014, 31/07/2014, 14/08/2014, 28/08/2014, 11/09/2014, 25/09/2014, 09/10/2014, 23/10/2014, 06/11/2014, 20/11/2014, 04/12/2014, 18/12/2014, 01/01/2015, 15/01/2015,","03/04/2014, 17/04/2014, 01/05/2014, 15/05/2014, 29/05/2014, 12/06/2014, 26/06/2014, 10/07/2014, 24/07/2014, 07/08/2014, 21/08/2014, 04/09/2014, 18/09/2014, 02/10/2014, 16/10/2014, 30/10/2014, 13/11/2014, 27/11/2014, 11/12/2014, 25/12/2014, 08/01/2015,",http://www.edinburgh.gov.uk/downloads/file/2366/red_and_blue_box_calendar_2014-2015_thur_1
,Monday,"14/04/2014, 28/04/2014, 12/05/2014, 26/05/2014, 09/06/2014, 23/06/2014, 07/07/2014, 21/07/2014, 04/08/2014, 18/08/2014, 01/09/2014, 15/09/2014, 29/09/2014, 13/10/2014, 27/10/2014, 10/11/2014, 24/11/2014, 08/12/2014, 22/12/2014, 05/01/2015, 19/01/2015,","07/04/2014, 21/04/2014, 05/05/2014, 19/05/2014, 02/06/2014, 16/06/2014, 30/06/2014, 14/07/2014, 28/07/2014, 11/08/2014, 25/08/2014, 08/09/2014, 22/09/2014, 06/10/2014, 20/10/2014, 03/11/2014, 17/11/2014, 01/12/2014, 15/12/2014, 29/12/2014, 12/01/2015,",http://www.edinburgh.gov.uk/downloads/file/2361/red_and_blue_box_calendar_2014-2015_mon_2
,Friday,"04/04/2014, 18/04/2014, 02/05/2014, 16/05/2014, 30/05/2014, 13/06/2014, 27/06/2014, 11/07/2014, 25/07/2014, 08/08/2014, 22/08/2014, 05/09/2014, 19/09/2014, 03/10/2014, 17/10/2014, 31/10/2014, 14/11/2014, 28/11/2014, 12/12/2014, 26/12/2014, 09/01/2015,","11/04/2014, 25/04/2014, 09/05/2014, 23/05/2014, 06/06/2014, 20/06/2014, 04/07/2014, 18/07/2014, 01/08/2014, 15/08/2014, 29/08/2014, 12/09/2014, 26/09/2014, 10/10/2014, 24/10/2014, 07/11/2014, 21/11/2014, 05/12/2014, 19/12/2014, 02/01/2015, 16/01/2015,",http://www.edinburgh.gov.uk/downloads/file/2369/red_and_blue_box_calendar_2014-2015_fri_2
,Monday,"07/04/2014, 21/04/2014, 05/05/2014, 19/05/2014, 02/06/2014, 16/06/2014, 30/06/2014, 14/07/2014, 28/07/2014, 11/08/2014, 25/08/2014, 08/09/2014, 22/09/2014, 06/10/2014, 20/10/2014, 03/11/2014, 17/11/2014, 01/12/2014, 15/12/2014, 29/12/2014, 12/01/2015,","14/04/2014, 28/04/2014, 12/05/2014, 26/05/2014, 09/06/2014, 23/06/2014, 07/07/2014, 21/07/2014, 04/08/2014, 18/08/2014, 01/09/2014, 15/09/2014, 29/09/2014, 13/10/2014, 27/10/2014, 10/11/2014, 24/11/2014, 08/12/2014, 22/12/2014, 05/01/2015, 19/01/2015,",http://www.edinburgh.gov.uk/downloads/file/2360/red_and_blue_box_calendar_2014-2015_mon_1
,Monday,"14/04/2014, 28/04/2014, 12/05/2014, 26/05/2014, 09/06/2014, 23/06/2014, 07/07/2014, 21/07/2014, 04/08/2014, 18/08/2014, 01/09/2014, 15/09/2014, 29/09/2014, 13/10/2014, 27/10/2014, 10/11/2014, 24/11/2014, 08/12/2014, 22/12/2014, 05/01/2015, 19/01/2015,","07/04/2014, 21/04/2014, 05/05/2014, 19/05/2014, 02/06/2014, 16/06/2014, 30/06/2014, 14/07/2014, 28/07/2014, 11/08/2014, 25/08/2014, 08/09/2014, 22/09/2014, 06/10/2014, 20/10/2014, 03/11/2014, 17/11/2014, 01/12/2014, 15/12/2014, 29/12/2014, 12/01/2015,",http://www.edinburgh.gov.uk/downloads/file/2361/red_and_blue_box_calendar_2014-2015_mon_2
"ALSO: KIERSHILL, BRAMPTON LODGE, ADDISTON MAINS, ADDISTON COTTAGE.",Friday,"04/04/2014, 18/04/2014, 02/05/2014, 16/05/2014, 30/05/2014, 13/06/2014, 27/06/2014, 11/07/2014, 25/07/2014, 08/08/2014, 22/08/2014, 05/09/2014, 19/09/2014, 03/10/2014, 17/10/2014, 31/10/2014, 14/11/2014, 28/11/2014, 12/12/2014, 26/12/2014, 09/01/2015,","11/04/2014, 25/04/2014, 09/05/2014, 23/05/2014, 06/06/2014, 20/06/2014, 04/07/2014, 18/07/2014, 01/08/2014, 15/08/2014, 29/08/2014, 12/09/2014, 26/09/2014, 10/10/2014, 24/10/2014, 07/11/2014, 21/11/2014, 05/12/2014, 19/12/2014, 02/01/2015, 16/01/2015,",http://www.edinburgh.gov.uk/downloads/file/2369/red_and_blue_box_calendar_2014-2015_fri_2
,Monday,"14/04/2014, 28/04/2014, 12/05/2014, 26/05/2014, 09/06/2014, 23/06/2014, 07/07/2014, 21/07/2014, 04/08/2014, 18/08/2014, 01/09/2014, 15/09/2014, 29/09/2014, 13/10/2014, 27/10/2014, 10/11/2014, 24/11/2014, 08/12/2014, 22/12/2014, 05/01/2015, 19/01/2015,","07/04/2014, 21/04/2014, 05/05/2014, 19/05/2014, 02/06/2014, 16/06/2014, 30/06/2014, 14/07/2014, 28/07/2014, 11/08/2014, 25/08/2014, 08/09/2014, 22/09/2014, 06/10/2014, 20/10/2014, 03/11/2014, 17/11/2014, 01/12/2014, 15/12/2014, 29/12/2014, 12/01/2015,",http://www.edinburgh.gov.uk/downloads/file/2361/red_and_blue_box_calendar_2014-2015_mon_2
,Monday,"14/04/2014, 28/04/2014, 12/05/2014, 26/05/2014, 09/06/2014, 23/06/2014, 07/07/2014, 21/07/2014, 04/08/2014, 18/08/2014, 01/09/2014, 15/09/2014, 29/09/2014, 13/10/2014, 27/10/2014, 10/11/2014, 24/11/2014, 08/12/2014, 22/12/2014, 05/01/2015, 19/01/2015,","07/04/2014, 21/04/2014, 05/05/2014, 19/05/2014, 02/06/2014, 16/06/2014, 30/06/2014, 14/07/2014, 28/07/2014, 11/08/2014, 25/08/2014, 08/09/2014, 22/09/2014, 06/10/2014, 20/10/2014, 03/11/2014, 17/11/2014, 01/12/2014, 15/12/2014, 29/12/2014, 12/01/2015,",http://www.edinburgh.gov.uk/downloads/file/2361/red_and_blue_box_calendar_2014-2015_mon_2
,Thursday,"10/04/2014, 24/04/2014, 08/05/2014, 22/05/2014, 05/06/2014, 19/06/2014, 03/07/2014, 17/07/2014, 31/07/2014, 14/08/2014, 28/08/2014, 11/09/2014, 25/09/2014, 09/10/2014, 23/10/2014, 06/11/2014, 20/11/2014, 04/12/2014, 18/12/2014, 01/01/2015, 15/01/2015,","03/04/2014, 17/04/2014, 01/05/2014, 15/05/2014, 29/05/2014, 12/06/2014, 26/06/2014, 10/07/2014, 24/07/2014, 07/08/2014, 21/08/2014, 04/09/2014, 18/09/2014, 02/10/2014, 16/10/2014, 30/10/2014, 13/11/2014, 27/11/2014, 11/12/2014, 25/12/2014, 08/01/2015,",http://www.edinburgh.gov.uk/downloads/file/2366/red_and_blue_box_calendar_2014-2015_thur_1
